Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,,,,,,,,,3.8,Maintain,Maintain,,,,Invest,3,Maintain,4,Maintain,4,Maintain,4,Maintain,4,,,,
Tech Stack,Layers,Presentation,Native,Desktop,Windows,Java,,,Business services,Other,Languages and Frameworks,Java,https://vox.sapient.com/docs/DOC-118731?sr=stream,,EU,,2.333333333,Watch,Maintain,Static,562,450,Watch,2,Watch,2,No Opinion ,0,Watch,2,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Native,Desktop,Mac,Metal,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Metal,https://vox.sapient.com/docs/DOC-118565,,EU,,1.333333333,Hold,Watch,Static,50,0,Watch,2,Watch,2,No Opinion ,0,Watch,2,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Native,Desktop,Mac,Cocoa,,,Presentation layer,Other,Languages and Frameworks,Cocoa,https://vox.sapient.com/docs/DOC-118564,,EU,,0.833333333,Hold,Exit,Static,50,0,Hold,1,Hold,1,No Opinion ,0,Hold,1,Hold,1,,Hold,1,
,,,,,,,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Apple Swift,https://vox.sapient.com/docs/DOC-118733?sr=stream,A,,,1,Hold,Invest,In,50,0,,,,,,,,,Hold,1,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Java on Android,https://vox.sapient.com/docs/DOC-118731?sr=stream,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Presentation,Native,Mobile,Android,Tools,GenyMotion,,Presentation layer,Other,Tools,GenyMotion,https://vox.sapient.com/docs/DOC-118298?sr=stream,,EU,TW-Jul14-Trial,1.333333333,Hold,Watch,Static,50,0,Hold,1,Watch,2,Watch,2,Watch,2,Hold,1,,No Opinion,0,
Tech Stack,Layers,Presentation,Native,Mobile,Windows Phone,,,,Presentation layer,Next Generation Platform,Platforms,Windows Phone,https://vox.sapient.com/docs/DOC-118559,,EU,TW-Oct12-Assess,1.166666667,Hold,Exit,Out,50,0,Hold,1,Hold,1,Watch,2,Hold,1,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Native,Mobile,Blackberry,,,,Presentation layer,Next Generation Platform,Platforms,Blackberry OS,https://vox.sapient.com/docs/DOC-118558?sr=stream,,EU,,0.666666667,Hold,Exit,Out,50,0,Hold,1,No Opinion ,0,No Opinion ,0,Hold,1,Hold,1,,Hold,1,
,,,,,,,,,Presentation layer,Other,Platforms,Windows 8,https://vox.sapient.com/docs/DOC-119926,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,Mac OS,https://vox.sapient.com/docs/DOC-119927,,,,,,Exit,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,iOS,https://vox.sapient.com/docs/DOC-119859,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,Android,https://vox.sapient.com/docs/DOC-119860,,,,,,Invest,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,Chrome,https://vox.sapient.com/docs/DOC-119856,,,,,,Maintain,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,IE 11,https://vox.sapient.com/docs/DOC-119857,,,,,,Maintain,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Other,Platforms,Safari,,,,,,,Watch,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Other,Platforms,Firefox,https://vox.sapient.com/docs/DOC-119858,,,,,,Maintain,Static,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,iPad,https://vox.sapient.com/docs/DOC-119871,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Presentation layer,Next Generation Platform,Platforms,Android tablets,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Presentation,Native,Mobile,Enterprise Mobility Management,MobileIron,,,Presentation layer,Other,Tools,Mobile Iron ,https://vox.sapient.com/docs/DOC-118412?sr=stream,,EU,Gartner Margic Quadrant 2014 EMM Leaders,1.5,Maintain,Invest,Static,50,0,Watch,2,Watch,2,Watch,2,Watch,2,Hold,1,,No Opinion,0,
